,mean_state_salary,home_city_code,education,published_date,schedule_type,experience,salary,professional_skills,add_skills,busy_type,business_trip,retraining_capability,fullness_rate,n_jobs,additionalEducationList,english_level
30,76565,5100001300000,1.0,2023-01-11,1.0,0,50000,0,0,1.0,0,1,66,0,0,0.7
31,76565,5100000100000,0.5,2022-09-14,1.0,1,25000,0,0,0.9,0,1,63,1,0,0.3
32,76259,7800000000000,0.5,2021-11-28,1.0,14,30000,0,0,1.0,0,1,69,3,0,0.0
33,76259,7800000000000,1.0,2022-09-22,1.0,5,60000,0,0,1.0,0,0,0,2,0,0.7
34,76259,7800000000000,0.6,2022-05-27,1.0,1,40000,0,0,1.0,1,0,84,2,0,0.7
35,76259,7800000000000,1.0,2022-05-13,1.0,21,300000,0,0,1.0,0,0,61,2,0,0.9
36,76259,7800000000000,1.0,2022-08-11,1.0,12,70000,0,0,1.0,1,1,73,1,1,0.5
37,76259,7800000000000,0.6,2023-03-22,1.0,3,50000,0,0,1.0,1,1,77,3,0,0.7
38,76259,7800000000000,0.6,2022-05-16,1.0,3,60000,0,0,1.0,0,0,62,1,0,0.3
39,76259,7800000000000,0.7,2022-06-07,1.0,2,35000,0,0,1.0,0,1,72,1,0,0.5
40,76259,7800000300000,1.0,2022-10-14,1.0,13,200000,0,0,0.9,0,0,67,3,0,0.3
41,76259,7800000000000,1.0,2022-04-12,1.0,24,50000,1,1,1.0,1,1,87,8,0,0.5
42,76259,7800000000000,1.0,2022-06-22,1.0,5,70000,0,0,1.0,0,1,77,3,1,0.9
43,76259,7800000000000,1.0,2022-02-14,1.0,8,40000,0,0,1.0,0,1,66,2,0,0.0
44,76259,7800000000000,1.0,2022-09-09,1.0,18,150000,0,0,1.0,0,0,69,5,0,0.7
45,76259,7800000000000,0.7,2022-04-28,1.0,0,40000,0,0,1.0,1,1,77,0,1,0.5
46,76259,7800000000000,1.0,2021-10-26,1.0,3,50000,0,0,1.0,1,1,73,1,0,0.3
47,76259,7800000000000,1.0,2022-04-01,1.0,11,70000,1,1,1.0,0,1,94,2,1,0.5
48,76259,7800000000000,0.6,2022-09-05,1.0,0,30000,0,0,1.0,0,1,61,0,0,0.5
49,76259,7800000000000,1.0,2022-06-06,1.0,1,90000,0,0,1.0,0,0,69,4,0,0.3
50,76259,7800000400000,0.6,2022-04-01,1.0,1,50000,0,0,1.0,0,1,74,1,0,0.3
51,76259,7800000000000,1.0,2022-09-27,1.0,7,65000,0,0,1.0,0,0,74,3,0,0.3
52,76259,7800000000000,1.0,2022-11-24,1.0,2,40000,0,0,1.0,0,1,76,2,0,0.3
53,64041,5001900100000,0.6,2022-04-12,1.0,0,40000,0,0,1.0,0,1,75,1,0,0.3
54,64041,5000003100000,1.0,2021-12-15,1.0,2,40000,0,0,1.0,1,1,80,2,0,0.5
55,64041,5000002900000,0.6,2021-12-15,0.8,7,55000,0,0,0.9,0,1,77,5,0,0.0
56,64041,5000000000000,0.5,2022-08-09,1.0,0,50000,0,0,1.0,1,1,65,1,0,0.7
57,64041,5000003000000,0.5,2022-08-12,0.8,3,40000,1,1,0.6,1,1,0,2,0,0.3
58,64041,5000000900000,1.0,2022-12-22,1.0,0,50000,0,0,1.0,1,1,76,0,0,0.5
59,64041,5000003600000,1.0,2022-08-29,1.0,2,60,0,0,1.0,1,1,77,1,0,0.3
60,64041,5000003000000,1.0,2022-10-06,1.0,1,80000,0,0,1.0,1,1,68,1,0,0.3
61,64041,5000002700000,0.6,2022-07-12,1.0,0,20000,0,0,1.0,1,1,64,0,0,0.3
62,64041,5000002600000,0.6,2022-03-04,1.0,0,20000,0,0,1.0,0,1,72,1,0,0.3
63,64041,5002100100000,0.6,2022-06-06,1.0,0,50000,0,0,1.0,0,1,64,0,0,0.3
