,name
390,"(0, 0)"
391,"(0, 0)"
392,"(0, 0)"
393,"(42.9830241, 47.5048717)"
394,"(42.9830241, 47.5048717)"
395,"(43.090786, 46.57296)"
396,"(42.8260906, 47.1219624)"
397,"(42.8260906, 47.1219624)"
398,"(42.193691, 47.646027)"
399,"(43.4769604, 43.5966578)"
400,"(43.4769604, 43.5966578)"
401,"(43.2320774, 44.7540128)"
402,"(43.48298215, 44.59630574658449)"
403,"(0, 0)"
404,"(0, 0)"
405,"(43.3197031, 45.6934308)"
406,"(43.3197031, 45.6934308)"
407,"(43.3197031, 45.6934308)"
408,"(43.3486103, 46.095945)"
409,"(0, 0)"
410,"(0, 0)"
411,"(0, 0)"
412,"(0, 0)"
413,"(0, 0)"
414,"(43.2950455, 45.8688918)"
415,"(43.133102, 45.538425)"
416,"(43.214424, 46.037682)"
417,"(43.0945581, 46.3798677)"
418,"(43.2515571, 46.3536714)"
